employeeId,username,email,phone,password,role,rank,department,station,district,isActive,themePreference
EMP00001,sweta_mishra5,sweta.mishra5@odpolice.in,9876556759,$2b$12$wE/CeuUYIrHqZoKNs8lcKeQrqrDdInt8dJ9c2JymBefDHe8RFhrhW,io,Inspector,Anti-Narcotics,Ainthapali PS,Sambalpur,False,system
EMP00002,baidhar_rout3,baidhar.rout3@odpolice.in,9876547857,$2b$12$wE/CeuUYIrHqZoKNs8lcKeQrqrDdInt8dJ9c2JymBefDHe8RFhrhW,liaison,Havildar,Court Support,Sea Beach PS,Puri,True,dark
EMP00003,ankit_tripathy3,ankit.tripathy3@odpolice.in,9876596698,$2b$12$wE/CeuUYIrHqZoKNs8lcKeQrqrDdInt8dJ9c2JymBefDHe8RFhrhW,liaison,Havildar,Court Liaison,Karanjia PS,Mayurbhanj,False,system
EMP00004,laxman_sethi,laxman.sethi@odpolice.in,9876579960,$2b$12$wE/CeuUYIrHqZoKNs8lcKeQrqrDdInt8dJ9c2JymBefDHe8RFhrhW,liaison,Constable,Judicial Liaison,Sadar PS,Keonjhar,True,system
EMP00005,piyush_patra1,piyush.patra1@odpolice.in,9876522124,$2b$12$wE/CeuUYIrHqZoKNs8lcKeQrqrDdInt8dJ9c2JymBefDHe8RFhrhW,io,Inspector,Special Branch,Karanjia PS,Mayurbhanj,True,system
EMP00006,amit_mahapatra3,amit.mahapatra3@odpolice.in,9876568443,$2b$12$wE/CeuUYIrHqZoKNs8lcKeQrqrDdInt8dJ9c2JymBefDHe8RFhrhW,witness,,,Panposh PS,Rourkela,True,light
EMP00007,anjali_senapati3,anjali.senapati3@odpolice.in,9876556873,$2b$12$wE/CeuUYIrHqZoKNs8lcKeQrqrDdInt8dJ9c2JymBefDHe8RFhrhW,witness,,,Ainthapali PS,Sambalpur,False,dark
EMP00008,piyush_tripathy2,piyush.tripathy2@odpolice.in,9876517322,$2b$12$wE/CeuUYIrHqZoKNs8lcKeQrqrDdInt8dJ9c2JymBefDHe8RFhrhW,io,ASI,CID,Town PS,Puri,True,system
EMP00009,subash_mohapatra3,subash.mohapatra3@odpolice.in,9876579986,$2b$12$wE/CeuUYIrHqZoKNs8lcKeQrqrDdInt8dJ9c2JymBefDHe8RFhrhW,liaison,Havildar,Judicial Liaison,Town PS,Balangir,True,dark
EMP00010,rahul_agrawal6,rahul.agrawal6@odpolice.in,9876562370,$2b$12$wE/CeuUYIrHqZoKNs8lcKeQrqrDdInt8dJ9c2JymBefDHe8RFhrhW,admin,Superintendent of Police,Administration,Angul HQ,Angul,True,light
